start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:25,000","This is Nicaragua, where these 16 New Zealanders are about to begin the adventure of a lifetime.",happiness,excitement,moderate
"00:00:26,000","00:00:30,000",I know nothing about Nicaragua. I had no idea where it was.,surprise,confusion,mild
"00:00:30,000","00:00:33,000",I actually didn't know where South America or North America was.,surprise,confusion,mild
"00:00:33,000","00:00:38,000","So I guess it's a massive shock, because I'm from a little, small town.",surprise,surprise,moderate
"00:00:40,000","00:00:43,000","It is the biggest country in Central America,",neutral,neutral,neutral
"00:00:43,000","00:00:47,000",with a rich history coloured with conflict...,neutral,neutral,neutral
"00:00:48,000","00:00:50,000",and revolution.,neutral,neutral,neutral
"00:00:51,000","00:00:59,000",Which is why it's fitting our fresh-faced Kiwi survivors should face their own battle right here.,happiness,optimism,mild
"00:00:59,000","00:01:01,000",This is my game. This is my passion.,happiness,pride,intense
"00:01:01,000","00:01:04,000","I know how to mess with people, but I also know how to get them to trust me.",happiness,pride,moderate
"00:01:04,000","00:01:08,000",And I'm funny. I'm charming. I've got it all.,happiness,pride,intense
"00:01:09,000","00:01:15,000","Staged in the lush, tropical jungle, filled with diverse and dangerous wildlife...",happiness,curiosity,mild
"00:01:15,000","00:01:19,000","Yes, there are jaguars, snakes, scorpions, and big ugly spiders.",fear,fear,moderate
"00:01:19,000","00:01:22,000","They are out there, but they've always been out there.",neutral,neutral,neutral
"00:01:22,000","00:01:27,000",It's not like every day a Kiwi wakes up and looks outside and sees a jaguar or a tarantula.,happiness,amusement,mild
"00:01:27,000","00:01:31,000","And I'll take on any gang member, but I won't take on a spider.",fear,fear,moderate
"00:01:31,000","00:01:37,000",Just how will New Zealanders cope competing in the world's toughest game?,happiness,curiosity,moderate
"00:01:39,000","00:01:43,000","8,000 people applied, and the Kiwi survived.",happiness,pride,moderate
"00:01:43,000","00:01:47,000","8,000 people applied. Just 16 will make it to the beach.",,,
"00:01:47,000","00:01:52,000","But in 40 days' time, there'll be only one survivor.",,,
"00:01:52,000","00:01:54,000",Yahoo!,happiness,excitement,intense
"00:02:44,000","00:02:48,000","The following footage is from our vault of classics, taken ten years ago.",neutral,neutral,neutral
"00:02:48,000","00:02:52,000",Those ages 30 and over should take into consideration when watching this video.,neutral,neutral,neutral
"00:03:14,000","00:03:16,000","Come on over, guys!",happiness,excitement,moderate
"00:03:16,000","00:03:21,000",I am so excited. Just standing on this beach is unreal.,happiness,excitement,intense
