start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:15,000",,,,
"00:00:15,000","00:00:16,000",Did you kiss?,happiness,curiosity,moderate
"00:00:17,000","00:00:18,000",Yeah.,neutral,neutral,neutral
"00:00:18,000","00:00:19,000",But no !,anger,annoyance,mild
"00:00:19,000","00:00:20,000",Why do you have a problem?,surprise,confusion,mild
"00:00:20,000","00:00:22,000",Did you kiss?,happiness,curiosity,moderate
"00:00:22,000","00:00:23,000",Yeah.,neutral,neutral,neutral
"00:00:23,000","00:00:25,000","So, you wanted a girl like that?",happiness,curiosity,mild
"00:00:25,000","00:00:26,000","What is there, actually?",happiness,curiosity,mild
"00:00:26,000","00:00:28,000",What is the problem?,surprise,confusion,mild
"00:00:28,000","00:00:29,000",It's going fast.,neutral,neutral,neutral
"00:00:29,000","00:00:30,000",It goes very quickly.,neutral,neutral,neutral
"00:00:30,000","00:00:32,000",This is the 3rd time that I have seen it.,neutral,neutral,neutral
"00:00:32,000","00:00:33,000",We got very wrong.,sadness,disappointment,moderate
"00:00:33,000","00:00:35,000","You saw it 3 times, an hour.",neutral,neutral,neutral
"00:00:35,000","00:00:37,000","Si t'as le feeling, t'as le feeling.",neutral,neutral,neutral
"00:00:37,000","00:00:38,000",We had the 5th!,happiness,excitement,moderate
"00:00:39,000","00:00:40,000",I am shocked.,surprise,surprise,intense
"00:00:40,000","00:00:41,000",Are you shocked? What is?,,,
"00:00:41,000","00:00:42,000",I am shocked.,surprise,surprise,intense
"00:00:42,000","00:00:45,000","Yesterday, you told me that in big, limit ...",neutral,neutral,neutral
"00:00:45,000","00:00:47,000","I tell you in my own way, I am from the south,",neutral,neutral,neutral
"00:00:47,000","00:00:48,000",I am very ...,neutral,neutral,neutral
"00:00:48,000","00:00:50,000",That she eats to all the racks,neutral,neutral,neutral
"00:00:50,000","00:00:52,000",And you didn't like it.,disgust,disapproval,mild
"00:00:52,000","00:00:53,000",I didn't say that.,anger,annoyance,mild
"00:00:53,000","00:00:55,000",This is what I just told you.,anger,annoyance,mild
"00:00:55,000","00:00:56,000",I speak in my own way.,happiness,pride,mild
"00:00:56,000","00:00:58,000","At that time, I tell him",neutral,neutral,neutral
"00:00:58,000","00:01:00,000",Do not remix people's words.,disgust,disapproval,moderate
"00:01:00,000","00:01:01,000",He didn't say that.,surprise,confusion,mild
"00:01:01,000","00:01:04,000","If we can both be, we are both.",neutral,neutral,neutral
"00:01:04,000","00:01:05,000",She has known him since yesterday.,neutral,neutral,neutral
"00:01:06,000","00:01:08,000",At what time you allow yourself to tell someone,happiness,curiosity,mild
"00:01:08,000","00:01:09,000",What should he do?,happiness,curiosity,mild
"00:01:09,000","00:01:11,000",It's a crazy thing.,surprise,surprise,moderate
"00:01:11,000","00:01:12,000","Yes, it had pissed me off.",anger,anger,moderate
"00:01:12,000","00:01:14,000",I spoke with Manon.,neutral,neutral,neutral
"00:01:14,000","00:01:17,000","Because there, you get involved in what you don't look at.",surprise,confusion,mild
"00:01:17,000","00:01:18,000",You're jealous.,disgust,disapproval,moderate
"00:01:18,000","00:01:19,000",Are you a whore or what?,anger,anger,intense
"00:01:19,000","00:01:21,000",You get involved in what you don't look at.,surprise,confusion,moderate
"00:01:21,000","00:01:23,000","You get bored, you look at us.",anger,annoyance,mild
"00:01:23,000","00:01:25,000","I see Manon who is very jealous,",,,
"00:01:25,000","00:01:26,000",She gets angry.,anger,anger,intense
"00:01:26,000","00:01:28,000","Me, it does me something.",happiness,curiosity,mild
"00:01:28,000","00:01:31,000","If you get angry, you have something towards me.",anger,anger,mild
"00:01:31,000","00:01:33,000",You liked you to get closer.,happiness,desire,mild
"00:01:33,000","00:01:34,000",This is what I understand.,surprise,realization,mild
"00:01:35,000","00:01:37,000",I don't know how to react to all the inhabitants.,surprise,confusion,moderate
"00:01:37,000","00:01:39,000",It is a very complex situation.,surprise,confusion,moderate
"00:01:40,000","00:01:41,000",We mingle with everything.,neutral,neutral,neutral
"00:01:41,000","00:01:43,000","It's like that, it's community life.",neutral,neutral,neutral
"00:01:43,000","00:01:45,000","In an adventure, we mix with everything.",neutral,neutral,neutral
"00:01:45,000","00:01:47,000",Do you have anything else to say?,happiness,curiosity,mild
"00:01:47,000","00:01:48,000",You look at us.,neutral,neutral,neutral
"00:01:48,000","00:01:49,000",And what does that do it?,surprise,confusion,mild
"00:01:49,000","00:01:51,000",I fight my balls.,anger,annoyance,moderate
