start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:02,000",What is your favorite position?,happiness,curiosity,mild
"00:00:06,000","00:00:07,000",This is Hamad.,neutral,neutral,neutral
"00:00:07,000","00:00:09,000",Many of you have been waiting for this episode.,happiness,excitement,moderate
"00:00:09,000","00:00:10,000",And here he is.,happiness,excitement,mild
"00:00:10,000","00:00:12,000",Today he becomes seven girls at the same time.,happiness,amusement,moderate
"00:00:12,000","00:00:14,000",There are seven girls behind this white curtain.,happiness,curiosity,mild
"00:00:14,000","00:00:16,000","Everyone a different outfit, everyone a different personality.",happiness,curiosity,mild
"00:00:16,000","00:00:18,000",Each round flies out.,happiness,curiosity,mild
"00:00:18,000","00:00:20,000",And the curtain gradually goes up.,happiness,curiosity,mild
"00:00:20,000","00:00:23,000",Because in the end only one remains.,happiness,curiosity,mild
"00:00:23,000","00:00:24,000",Then imagine.,happiness,curiosity,mild
"00:00:24,000","00:00:25,000",I am a hamad.,neutral,neutral,neutral
"00:00:25,000","00:00:26,000",I am a streamer.,neutral,neutral,neutral
"00:00:26,000","00:00:28,000",23 years old and come from Paderborn.,neutral,neutral,neutral
"00:00:28,000","00:00:30,000",And what are you looking for in your dream woman?,happiness,curiosity,mild
"00:00:30,000","00:00:33,000",I am looking for a person with whom I just want to spend time.,happiness,desire,moderate
"00:00:33,000","00:00:36,000",I think of her and think I would like to be with her now.,happiness,desire,moderate
"00:00:36,000","00:00:38,000",This is such a sweet answer.,happiness,approval,mild
"00:00:38,000","00:00:40,000",What would an absolute red flag be for you?,happiness,curiosity,mild
"00:00:40,000","00:00:45,000",If she is completely lazy and doesn't feel like anything.,disgust,disapproval,moderate
"00:00:45,000","00:00:46,000",A trailer.,neutral,neutral,neutral
"00:00:46,000","00:00:47,000","Yes, a trailer.",neutral,neutral,neutral
"00:00:47,000","00:00:50,000","Before we start with the video, weighed and shares the video.",neutral,neutral,neutral
"00:00:50,000","00:00:52,000",Subscribe to the channel and comment.,neutral,neutral,neutral
"00:00:52,000","00:00:56,000","Because under the first 5000 comments that have subscribed, we are giving away 100 euros.",happiness,excitement,moderate
"00:00:56,000","00:00:57,000",So good luck.,happiness,optimism,mild
"00:00:58,000","00:00:59,000",Oh damn.,surprise,surprise,mild
"00:00:59,000","00:01:00,000",Oh.,surprise,surprise,mild
"00:01:00,000","00:01:01,000","Okay, what do you say?",happiness,curiosity,mild
"00:01:01,000","00:01:05,000",I have to say directly that number 2 has very dirty shoes.,disgust,disapproval,mild
"00:01:05,000","00:01:07,000",This is dirty for you.,surprise,confusion,mild
"00:01:07,000","00:01:09,000",Although I now see number 4.,surprise,realization,mild
"00:01:09,000","00:01:11,000",This is a bit dirty.,disgust,disapproval,mild
"00:01:11,000","00:01:12,000",You pingelchen.,happiness,amusement,mild
"00:01:12,000","00:01:15,000",Not only is this dirty one at number 7.,disgust,disapproval,mild
"00:01:15,000","00:01:17,000",What do you find about them?,happiness,curiosity,mild
"00:01:17,000","00:01:19,000",Do you find them good or not so cool?,happiness,curiosity,mild
"00:01:19,000","00:01:21,000",First impression rather negative.,disgust,disapproval,mild
"00:01:21,000","00:01:23,000",I find it very cool.,happiness,approval,mild
"00:01:24,000","00:01:25,000",What do you find about them?,happiness,curiosity,mild
"00:01:25,000","00:01:26,000",Do you find them good or not so cool?,happiness,curiosity,mild
