start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:05,000","After Asia, Africa, the United States and Latin America,",neutral,neutral,neutral
"00:00:05,000","00:00:08,000","The Mercedes fly over 16,000 kilometers from their home",neutral,neutral,neutral
"00:00:08,000","00:00:10,000",And put their suitcase in Australia.,neutral,neutral,neutral
"00:00:18,000","00:00:20,000","Together, they take up the challenge of winning in Australia",happiness,excitement,moderate
"00:00:20,000","00:00:22,000",And to discover this magnificent country,happiness,curiosity,mild
"00:00:24,000","00:00:25,000",than astonishing.,surprise,surprise,mild
"00:00:26,000","00:00:28,000",Are you ready?,happiness,excitement,mild
"00:00:29,000","00:00:32,000","Faced with the professional challenge that their spear will be their ibex,",happiness,curiosity,mild
"00:00:32,000","00:00:35,000",Marseillais will have to adapt to Australian methods,happiness,optimism,moderate
"00:00:35,000","00:00:38,000",Because here it does not laugh.,disgust,disapproval,mild
"00:00:44,000","00:00:47,000","But if necessary, the Marseillais know that they can count on their friends",happiness,caring,mild
"00:00:47,000","00:00:48,000",To lend them a hand.,happiness,caring,mild
"00:00:49,000","00:00:51,000",I was told that we were partying here!,happiness,excitement,moderate
"00:00:52,000","00:00:53,000",We're going to break everything!,happiness,excitement,intense
"00:00:54,000","00:00:57,000","And if everyone knows, the Marseillais fear nothing and anyone.",happiness,pride,intense
"00:00:57,000","00:00:59,000",Here they will have to prove it.,happiness,optimism,moderate
"00:01:02,000","00:01:03,000",And beware of large chills.,fear,fear,mild
"00:01:06,000","00:01:07,000","Guys, but it's not alone!",fear,nervousness,mild
"00:01:09,000","00:01:10,000",The guys where?,surprise,confusion,mild
"00:01:10,000","00:01:11,000",Nothing to fear.,neutral,neutral,neutral
"00:01:12,000","00:01:14,000","In Australia, love and emotion await the Marseillais.",happiness,optimism,mild
"00:01:14,000","00:01:16,000",She made me shine my eyes.,happiness,admiration,mild
"00:01:16,000","00:01:18,000","I hope that now, it will sparkle my heart.",happiness,desire,mild
"00:01:20,000","00:01:21,000",That's all there!,surprise,surprise,mild
"00:01:23,000","00:01:26,000",Some came together to Australia to test their couple.,happiness,curiosity,mild
"00:01:26,000","00:01:28,000",We have nothing to do together.,sadness,disappointment,moderate
"00:01:30,000","00:01:34,000","While for others, we must now prepare for a radical change of life.",,,
"00:01:36,000","00:01:38,000",It's going to be complicated guys.,fear,nervousness,moderate
"00:01:38,000","00:01:40,000",She has everything to take care of me.,happiness,gratitude,mild
"00:01:40,000","00:01:43,000","But during the adventure, Cupid will only do his head.",neutral,neutral,neutral
"00:01:44,000","00:01:45,000",But we especially put my couple in danger.,,,
"00:01:45,000","00:01:47,000",I pass for a big pear.,fear,embarrassment,mild
"00:01:48,000","00:01:50,000","And here, for many, the time for major decisions has come.",surprise,realization,moderate
"00:01:50,000","00:01:52,000",Now do you want to be my wife?,happiness,love,intense
"00:01:52,000","00:01:54,000","Yes, yes, yes.",happiness,joy,intense
"00:01:54,000","00:01:56,000",And there are enough.,neutral,neutral,neutral
"00:01:58,000","00:02:03,000","To be able to stay as long as possible in Australia, no Marseillais must forget Rule number 1.",neutral,neutral,neutral
"00:02:03,000","00:02:05,000",Julien is the apprentice kings of problems.,happiness,amusement,mild
"00:02:07,000","00:02:09,000",The king of problems prowls and spares no one.,happiness,amusement,mild
"00:02:09,000","00:02:11,000",There is no problem.,neutral,neutral,neutral
"00:02:11,000","00:02:13,000",There is your ex in your bed.,surprise,surprise,moderate
"00:02:13,000","00:02:15,000",I don't want to have it anymore.,disgust,disgust,moderate
"00:02:15,000","00:02:17,000","In fact, I get you in the air.",surprise,confusion,mild
"00:02:17,000","00:02:19,000",It's very cool.,happiness,amusement,mild
"00:02:19,000","00:02:21,000","Faced with problems, for the Marseillais, as always, a single solution, humor.",happiness,amusement,moderate
"00:02:29,000","00:02:33,000","At the end of the world, the Marseillais are more than ever a large family.",happiness,pride,moderate
"00:02:33,000","00:02:37,000","Day after day, you will live with them and share their stories.",neutral,neutral,neutral
"00:02:39,000","00:02:41,000",Marseillais!,happiness,excitement,mild
"00:02:41,000","00:02:43,000",Marseillais!,happiness,excitement,mild
"00:03:39,000","00:03:41,000",We had closed it there!,surprise,surprise,mild
"00:03:41,000","00:03:43,000",She takes the lead for nothing.,anger,annoyance,mild
"00:03:43,000","00:03:45,000",Get closer a little.,neutral,neutral,neutral
"00:03:45,000","00:03:47,000","Clearly, it also makes me good to be a little separated from him.",happiness,relief,moderate
"00:03:47,000","00:03:49,000","But what is he doing, Kev?",surprise,confusion,mild
"00:03:49,000","00:03:51,000",It can be the return of the Jaguar.,happiness,curiosity,mild
"00:03:53,000","00:03:55,000",Smile the dads!,happiness,amusement,mild
"00:03:55,000","00:03:57,000","And one, four, and two, two, two, and three!",happiness,excitement,mild
"00:04:03,000","00:04:05,000",It's good.,happiness,approval,mild
"00:04:05,000","00:04:07,000","Now, you have to go a little bit to serious things.",happiness,optimism,moderate
"00:04:07,000","00:04:09,000","For me, even a kiss, it's not the light.",sadness,disappointment,mild
"00:04:09,000","00:04:11,000","It's a joke, sorry.",fear,embarrassment,mild
"00:04:11,000","00:04:13,000","No, but it's true.",surprise,realization,mild
"00:04:13,000","00:04:15,000",He wants to couple with her.,happiness,curiosity,mild
"00:04:15,000","00:04:17,000","Ah, but no, sorry, it's far too darling.",disgust,disapproval,mild
"00:04:17,000","00:04:19,000","And as they say, the inaccessible often attracts.",happiness,curiosity,mild
"00:04:21,000","00:04:23,000","Oh, calm down, baby.",happiness,caring,mild
"00:04:25,000","00:04:27,000","Quiet, quiet, tranquilou, tranquilou.",neutral,neutral,neutral
"00:04:27,000","00:04:29,000",The kiss will not be for now.,sadness,disappointment,mild
"00:04:29,000","00:04:31,000","No, not now, me.",neutral,neutral,neutral
"00:04:31,000","00:04:33,000","Oh, fool.",anger,annoyance,mild
"00:04:33,000","00:04:35,000",I'm just ultra stressed.,fear,nervousness,intense
"00:04:37,000","00:04:39,000",We're going to talk about it again yesterday.,happiness,curiosity,mild
"00:04:39,000","00:04:41,000","Me, it is yesterday that interests me.",happiness,curiosity,mild
"00:04:41,000","00:04:43,000",It happened unexpected things.,surprise,surprise,moderate
