start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:15,000",Sofia. Lilyana Georgieva and her 13-year-old daughter Velina live in the B-5 residential complex.,neutral,neutral,neutral
"00:00:15,000","00:00:22,000","Ever since Velina's father abandoned her family 6 years ago, the girl has been constantly pampered by her mother.",sadness,sadness,moderate
"00:00:22,000","00:00:27,000",There is almost no desire that Liliana does not fulfill her daughter.,happiness,caring,intense
"00:00:27,000","00:00:35,000","Velina has a very difficult time to make a statement with her father. He had promised to call her to look for her, but he just disappeared.",sadness,disappointment,intense
"00:00:35,000","00:00:43,000","She suffered a lot, crying a lot. I somehow wanted to make up for his absence,",sadness,grief,intense
"00:00:43,000","00:00:51,000","So I allowed myself to buy her whatever she wants to give her, but for years my head got on my head.",sadness,remorse,moderate
"00:00:51,000","00:00:58,000","The relationship between mother and daughter gets crazy when Liliana's new friend, Theodore, disadvantages to live with them,",anger,annoyance,moderate
"00:00:58,000","00:01:05,000",Together with his son Nicholas. Even the most common request for the mother's assistance is an occasion for a scandal.,anger,annoyance,moderate
"00:01:05,000","00:01:12,000","This will not happen. If Mom plans to have the rights of the misers of the one, Naikor and Theodore and Nicholas, it will not be.",,,
"00:01:12,000","00:01:16,000",They are not for me. I am in my part and I will do what I want.,,,
"00:01:16,000","00:01:22,000",I was horrified to see what this girl affords. Turn your mother to her little finger.,disgust,disapproval,intense
"00:01:22,000","00:01:28,000",And the worst part is that Lily for everything is obeying. I was in one place.,disgust,disapproval,moderate
"00:01:28,000","00:01:32,000","I will have been superfined for a long time, but for now I do not want to interfere.",neutral,neutral,neutral
"00:01:32,000","00:01:37,000","Even once, Lily made a note of her to go to bed earlier.",anger,annoyance,mild
"00:01:37,000","00:01:42,000",And she began to measure shoes and Lily was hiding in another room. This is a jerk absurd.,anger,annoyance,moderate
"00:01:42,000","00:01:46,000","Due to Velina's behavior, scandals between Liliana and Todor are also involved.",anger,annoyance,moderate
"00:01:46,000","00:01:50,000",This is not normal. Only Velina does not fall into another hysteria.,anger,annoyance,moderate
"00:01:50,000","00:01:53,000",Her mother worships and buys everything.,disgust,disapproval,moderate
"00:01:53,000","00:01:57,000",Even the last times she had raised rags for 200 leva.,disgust,disapproval,mild
"00:01:57,000","00:02:02,000","And this, given that it works as a saleswoman and my money is as long as I pay the smoke.",anger,annoyance,moderate
"00:02:02,000","00:02:04,000","In my opinion, this is a big mistake.",disgust,disapproval,moderate
"00:02:04,000","00:02:07,000",I hate Velina to make me shops.,anger,annoyance,moderate
"00:02:07,000","00:02:10,000",So I buy her everything she wants.,happiness,caring,moderate
"00:02:10,000","00:02:16,000",I prefer to be left without money than to fight on the streets and not to watch.,fear,fear,moderate
"00:02:16,000","00:02:21,000",Velina just doesn't know the measure. It must be shown how far it can be needed.,disgust,disapproval,moderate
"00:02:21,000","00:02:24,000",She is heated and thinks that everything is allowed.,disgust,disapproval,moderate
"00:02:24,000","00:02:27,000","However, I will not let her play me.",,,
"00:02:29,000","00:02:33,000",The situation in the family becomes crazy with each passing day.,anger,annoyance,moderate
"00:02:34,000","00:02:39,000",Theodore's son Nicholas also suffers from Velina's aggressive behavior.,sadness,sadness,moderate
