start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:03,000","Mushir, we reassure my good things, and everything is completely",neutral,neutral,neutral
"00:00:03,000","00:00:05,000",Oh welcome,neutral,neutral,neutral
"00:00:05,000","00:00:06,000","Married, indicated?",happiness,curiosity,mild
"00:00:06,000","00:00:07,000",Yes,neutral,neutral,neutral
"00:00:07,000","00:00:08,000",What do you have children?,happiness,curiosity,mild
"00:00:08,000","00:00:09,000",I have two girls,neutral,neutral,neutral
"00:00:09,000","00:00:10,000","God willing, may God bless them",happiness,caring,mild
"00:00:10,000","00:00:11,000",What are their names?,happiness,curiosity,mild
"00:00:11,000","00:00:14,000",The big name is Rahaf and the small is her name,neutral,neutral,neutral
"00:00:14,000","00:00:15,000",Rahaf and mortar?,surprise,confusion,mild
"00:00:15,000","00:00:17,000",Welcome to you,neutral,neutral,neutral
"00:00:17,000","00:00:26,000","Noting a problem with a friend of feelings, but this problem is now five years old",sadness,sadness,mild
"00:00:26,000","00:00:32,000","Five years old girlfriends, Omar, do not tell each other",sadness,disappointment,moderate
"00:00:32,000","00:00:35,000",I will tell you what is the reason for the dispute,happiness,curiosity,mild
"00:00:35,000","00:00:39,000",أولاً كانوا عايشين بالسودان مع بعض وقراب,neutral,neutral,neutral
"00:00:39,000","00:00:45,000",She married feelings and came to Egypt and her husband and lived in Egypt,neutral,neutral,neutral
"00:00:45,000","00:00:51,000","After a while she got married, then she was also with her husband, I came to Egypt",neutral,neutral,neutral
"00:00:51,000","00:00:56,000","In Egypt, I mean, it has become in problems between Mashir and her husband",,,
"00:00:56,000","00:01:01,000","Considering that they are friends, I mean, indicating and feelings",neutral,neutral,neutral
"00:01:01,000","00:01:06,000",Feelings made some benign issues between Mashir and her husband,disgust,disapproval,moderate
"00:01:06,000","00:01:17,000","Hoon, Mushira, complained about her friend and can be accused of guarantee and announced that he is feelings of the relationship with her husband",anger,anger,intense
"00:01:17,000","00:01:23,000","This disagreement has developed between the two friends, in which there are arguments between some",sadness,sadness,moderate
"00:01:23,000","00:01:31,000","She separated from some of him, she was upset with feelings because she is her friend, indicating her relationship with her husband",sadness,sadness,moderate
"00:01:31,000","00:01:35,000",This dispute has been going on for five years,anger,annoyance,intense
"00:01:35,000","00:01:45,000","I tried to become a peace, I tried that you were asking for her to return to your girlfriend for feelings",,,
