start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:01,000",How high is your body count?,happiness,curiosity,moderate
"00:00:04,000","00:00:05,000",I had so far ... do you know?,surprise,confusion,mild
"00:00:06,000","00:00:09,000",This is Tom and he dates 7 girls today at the same time.,happiness,amusement,moderate
"00:00:09,000","00:00:11,000",There are 7 girls behind this white curtain.,happiness,curiosity,mild
"00:00:11,000","00:00:14,000","Everyone a different outfit, everyone a different personality.",happiness,curiosity,mild
"00:00:14,000","00:00:15,000",Every round gets one out.,neutral,neutral,neutral
"00:00:15,000","00:00:18,000","The curtain gradually goes up,",,,
"00:00:18,000","00:00:19,000",Because in the end there is only a dropout.,neutral,neutral,neutral
"00:00:19,000","00:00:21,000",Imagine.,happiness,curiosity,mild
"00:00:21,000","00:00:22,000","Hello guys, I'm Tom Supreme.",neutral,neutral,neutral
"00:00:22,000","00:00:25,000",I am the lifeguard you trust today.,neutral,neutral,neutral
"00:00:25,000","00:00:26,000",What are you looking for today?,happiness,curiosity,mild
"00:00:26,000","00:00:28,000",Love leads to life.,happiness,optimism,moderate
"00:00:28,000","00:00:30,000","I've tried it before, it didn't work.",sadness,disappointment,mild
"00:00:30,000","00:00:32,000",Today I'm looking for at the Baywatch level.,happiness,excitement,moderate
"00:00:33,000","00:00:35,000",Then I want to find the woman for life.,happiness,desire,moderate
"00:00:35,000","00:00:37,000",We can do that. What would your Red Flag be?,happiness,curiosity,mild
"00:00:37,000","00:00:38,000",When it was a man.,surprise,surprise,mild
"00:00:38,000","00:00:39,000",Real?,surprise,surprise,mild
"00:00:39,000","00:00:42,000","Before we start with the video, like and share the video,",neutral,neutral,neutral
"00:00:42,000","00:00:44,000",Subscribe to the channel and comment.,neutral,neutral,neutral
"00:00:44,000","00:00:46,000",Because among the first 5000 comments that have subscribed to,neutral,neutral,neutral
"00:00:46,000","00:00:47,000",Let's raffle 100 euros.,happiness,excitement,moderate
"00:00:48,000","00:00:49,000",So good luck.,happiness,optimism,mild
"00:00:49,000","00:00:51,000",The next time you want to be there,neutral,neutral,neutral
"00:00:51,000","00:00:53,000","Then just apply here, write us a message.",neutral,neutral,neutral
"00:00:54,000","00:00:56,000","If you come from Cologne, you will probably be there.",happiness,optimism,mild
"00:00:57,000","00:00:59,000","Subtitle on behalf of ZDF for Funk, 2017",neutral,neutral,neutral
"00:01:03,000","00:01:05,000","3, 2, 1, okay.",neutral,neutral,neutral
"00:01:06,000","00:01:07,000",Turn around.,neutral,neutral,neutral
"00:01:07,000","00:01:08,000",I'm here.,neutral,neutral,neutral
"00:01:09,000","00:01:10,000",What is your first answer?,happiness,curiosity,mild
"00:01:10,000","00:01:13,000",Do you go to the beach? We are in the Baywatch Edition.,happiness,curiosity,mild
"00:01:13,000","00:01:15,000",I am the lifeguard of your trust.,neutral,neutral,neutral
"00:01:15,000","00:01:16,000","No, fun.",happiness,amusement,mild
"00:01:16,000","00:01:18,000",Is this a beach story?,happiness,curiosity,mild
"00:01:18,000","00:01:22,000","Yes, some have a swimsuit, some bikini, some beach shorts.",neutral,neutral,neutral
"00:01:23,000","00:01:26,000","What I have to say immediately, number 6, what's going on?",surprise,confusion,moderate
"00:01:27,000","00:01:30,000",Do we have no shoe cleaner or what? What's that supposed to mean?,anger,annoyance,mild
"00:01:30,000","00:01:33,000","You can see that too, can I take a closer look at it?",happiness,curiosity,mild
"00:01:33,000","00:01:34,000","Yes, go, look at her exactly.",neutral,neutral,neutral
"00:01:34,000","00:01:35,000",That is absolute nonsense.,disgust,disapproval,moderate
"00:01:35,000","00:01:38,000",Do you want to wash me What's going on here?,surprise,confusion,moderate
"00:01:38,000","00:01:39,000","Although, that's ...",neutral,neutral,neutral
"00:01:39,000","00:01:41,000","Ha, ha, ha, ha, ha.",happiness,amusement,moderate
"00:01:41,000","00:01:42,000","Hi, Digger?",neutral,neutral,neutral
"00:01:42,000","00:01:43,000","Ha, ha, ha, ha.",happiness,amusement,moderate
"00:01:43,000","00:01:44,000",Do we also have horses with us?,surprise,confusion,mild
"00:01:44,000","00:01:45,000","Ha, ha, ha, ha.",happiness,amusement,moderate
"00:01:45,000","00:01:46,000","Okay, no.",neutral,neutral,neutral
"00:01:46,000","00:01:50,000","I don't know, but number 3 is also very questionable.",surprise,confusion,mild
"00:01:50,000","00:01:51,000",Gut.,neutral,neutral,neutral
"00:01:51,000","00:01:52,000",Dominant.,neutral,neutral,neutral
"00:01:52,000","00:01:54,000",What? Is it dominant?,surprise,confusion,mild
"00:01:54,000","00:01:55,000",It is a dominant.,neutral,neutral,neutral
