start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:03,000",This is my decision and the case has been settled. Thank you.,neutral,neutral,neutral
"00:00:30,000","00:00:35,000","That man who started from, yes but what are you doing here? Who are you? You don't live here, so get up.",anger,annoyance,moderate
"00:00:35,000","00:00:40,000","If you really make me angry, I can go out very well.",anger,anger,moderate
"00:00:41,000","00:00:43,000",This is not respect what you show.,disgust,disapproval,moderate
"00:00:43,000","00:00:44,000","Yes, I am getting crazy.",anger,annoyance,moderate
"00:00:52,000","00:00:54,000",I am on my way to Hoogvliet in Rotterdam.,neutral,neutral,neutral
"00:00:54,000","00:00:59,000",There the 40-year-old Essie lives with her daughter in a wonderful apartment ...,neutral,neutral,neutral
"00:00:59,000","00:01:03,000",... what she has transformed into a true palace in recent years.,happiness,admiration,mild
"00:01:03,000","00:01:05,000","Nothing to complain, you would say.",neutral,neutral,neutral
"00:01:05,000","00:01:10,000",Except that Essie has recently become horny of the stamp of her upstairs neighbors.,anger,annoyance,moderate
"00:01:10,000","00:01:14,000",Very often I feel that it happens a kind of conscious.,surprise,realization,mild
"00:01:15,000","00:01:19,000","Well, we're just going to put on our slippers and we are just going to stamp.",happiness,amusement,mild
"00:01:19,000","00:01:22,000","The upstairs neighbors in question, Fred and Marjon, are not aware of any harm.",surprise,confusion,mild
"00:01:23,000","00:01:26,000","After all, you can just walk around in your own house.",neutral,neutral,neutral
"00:01:26,000","00:01:30,000","And moreover, they are more than fed up with Essie's eternal complaining.",anger,annoyance,moderate
"00:01:30,000","00:01:35,000",I don't know where the problem comes from what the neighbor has with us.,surprise,confusion,mild
"00:01:35,000","00:01:39,000","I can't look in her head, but that something is wrong there, yes.",,,
"00:01:39,000","00:01:43,000","It may be clear, this is not a matter of delicate ears.",disgust,disapproval,mild
"00:01:43,000","00:01:45,000",But where does the shoe pinch him?,happiness,curiosity,mild
"00:01:45,000","00:01:49,000","In short, it is high time that Master Visser came to listen to his ear ...",fear,fear,moderate
"00:01:49,000","00:01:51,000",... in this long -term neighbor conflict.,anger,annoyance,moderate
"00:01:52,000","00:02:00,000",MUSIC,neutral,neutral,neutral
"00:02:00,000","00:02:07,000","If I am sometimes in the adventures here, I really hear the sound on this side.",anger,annoyance,mild
"00:02:07,000","00:02:14,000","Then it's just that I think so, yes, you know, you've been walking for so long.",neutral,neutral,neutral
"00:02:14,000","00:02:16,000",Sit down or something.,anger,annoyance,mild
"00:02:16,000","00:02:18,000",MUSIC,neutral,neutral,neutral
"00:02:19,000","00:02:25,000",The fact that we cause noise pollution is impossible.,,,
"00:02:25,000","00:02:29,000","As you just saw me, I am four of the five o'clock in the evening.",neutral,neutral,neutral
"00:02:29,000","00:02:31,000",That's how my wife lies.,neutral,neutral,neutral
"00:02:33,000","00:02:39,000","Well, I think she's wearing such a kind of shoe, something with a kind of zleee shak.",happiness,curiosity,mild
"00:02:39,000","00:02:46,000",But the sound sounds like this of the heel.,happiness,curiosity,mild
"00:02:46,000","00:02:53,000",And I think sir is also added extra and that he will just stomp.,anger,annoyance,mild
"00:02:53,000","00:02:55,000","Really a doom, doem, doem.",anger,annoyance,moderate
"00:02:55,000","00:02:57,000","That I think, I don't think someone is walking like that.",surprise,confusion,mild
"00:02:57,000","00:03:02,000",MUSIC,neutral,neutral,neutral
"00:03:02,000","00:03:04,000",This is the road that I always walk.,neutral,neutral,neutral
"00:03:04,000","00:03:08,000",And the way I walk is the way I always walk.,neutral,neutral,neutral
"00:03:08,000","00:03:12,000","Just on my easy, not run, not stamping.",neutral,neutral,neutral
"00:03:12,000","00:03:16,000","Simply normal, as it can and must and should hear.",neutral,neutral,neutral
"00:03:16,000","00:03:22,000","If I think yes, I'm just tired of it now, I just put my television a little louder.",anger,annoyance,moderate
"00:03:22,000","00:03:25,000",MUSIC,neutral,neutral,neutral
"00:03:25,000","00:03:31,000",There must be the realization that she lives in an apartment complex with 24 neighbors.,surprise,realization,mild
"00:03:31,000","00:03:33,000",And not on a hut on the heath.,disgust,disapproval,mild
"00:03:33,000","00:03:35,000",I just find it disturbing.,anger,annoyance,mild
"00:03:35,000","00:03:39,000",I just want to come home and be able to sit quietly on my couch.,happiness,desire,moderate
"00:03:39,000","00:03:46,000",MUSIC,neutral,neutral,neutral
"00:03:53,000","00:03:57,000","Well, then we are in the picturesque Hoogvliet, municipality of Rotterdam.",neutral,neutral,neutral
"00:03:57,000","00:04:00,000",In itself a very nice neighborhood.,happiness,approval,mild
"00:04:00,000","00:04:02,000",Except here then.,disgust,disapproval,mild
"00:04:02,000","00:04:06,000",Because this is the flat where this sound drama takes place.,anger,annoyance,moderate
"00:04:06,000","00:04:07,000",We are on the first floor.,neutral,neutral,neutral
"00:04:07,000","00:04:09,000","Here, Essie lives there.",neutral,neutral,neutral
"00:04:09,000","00:04:13,000","And above that, with the yellow butterflies on the balcony, Fred and Marion live there.",neutral,neutral,neutral
"00:04:13,000","00:04:15,000",And they would make a lot of noise.,anger,annoyance,mild
"00:04:15,000","00:04:17,000","Well, we're going to investigate.",happiness,curiosity,moderate
"00:04:18,000","00:04:19,000",Take a look.,neutral,neutral,neutral
"00:04:19,000","00:04:21,000",Mrs. Essie van Essen.,neutral,neutral,neutral
"00:04:23,000","00:04:24,000",Hallo.,neutral,neutral,neutral
"00:04:24,000","00:04:25,000",Good morning Essie.,neutral,neutral,neutral
"00:04:25,000","00:04:27,000",Victor of master Frank Visser makes a statement.,neutral,neutral,neutral
"00:04:33,000","00:04:34,000",Good morning.,neutral,neutral,neutral
"00:04:34,000","00:04:35,000",Good morning.,neutral,neutral,neutral
"00:04:35,000","00:04:35,000",Hoi.,neutral,neutral,neutral
"00:04:35,000","00:04:36,000",Two.,neutral,neutral,neutral
"00:04:36,000","00:04:37,000",Essie.,neutral,neutral,neutral
"00:04:37,000","00:04:38,000",Victor.,neutral,neutral,neutral
"00:04:38,000","00:04:38,000",Welcome.,neutral,neutral,neutral
"00:04:38,000","00:04:41,000",Is a little symbol for the relationship with the neighbors.,neutral,neutral,neutral
"00:04:41,000","00:04:42,000",Us.,neutral,neutral,neutral
"00:04:42,000","00:04:43,000",Debris head.,surprise,confusion,mild
"00:04:43,000","00:04:44,000","Debris head, sorry.",fear,embarrassment,mild
"00:04:44,000","00:04:46,000",But I say that softly.,fear,nervousness,mild
"00:04:46,000","00:04:47,000",They are busy with the lift.,neutral,neutral,neutral
"00:04:47,000","00:04:49,000","Okay, they are busy with the lift.",neutral,neutral,neutral
"00:04:49,000","00:04:49,000",The new lift.,neutral,neutral,neutral
"00:04:49,000","00:04:52,000",Can I come in to talk to the neighbors about the misery?,happiness,curiosity,moderate
"00:04:52,000","00:04:53,000",Sure you can come in.,happiness,approval,mild
"00:04:53,000","00:04:56,000",But I want to ask you to take off your shoes.,neutral,neutral,neutral
"00:04:56,000","00:04:56,000",Shoes off?,surprise,confusion,mild
"00:04:56,000","00:04:57,000",And.,neutral,neutral,neutral
"00:05:01,000","00:05:02,000",Come in.,neutral,neutral,neutral
"00:05:02,000","00:05:03,000",Thank you.,happiness,gratitude,mild
"00:05:03,000","00:05:06,000",Nice house in the cozy Hoogvliet.,happiness,admiration,mild
"00:05:06,000","00:05:08,000",That's right.,neutral,neutral,neutral
"00:05:08,000","00:05:09,000",Do you live here?,happiness,curiosity,mild
"00:05:09,000","00:05:11,000",I live here wonderfully.,happiness,joy,mild
"00:05:11,000","00:05:13,000",The peace is nice.,neutral,neutral,neutral
"00:05:13,000","00:05:14,000",I have room.,neutral,neutral,neutral
"00:05:14,000","00:05:15,000","Yes, you say the peace is nice.",neutral,neutral,neutral
"00:05:15,000","00:05:19,000",But I think I am mainly here because of the unrest.,anger,annoyance,moderate
"00:05:19,000","00:05:20,000","Yes, but it's not just negative.",happiness,optimism,mild
"00:05:20,000","00:05:23,000","No, but I would like to talk to you about that.",happiness,curiosity,moderate
"00:05:23,000","00:05:24,000",I understand.,neutral,neutral,neutral
"00:05:24,000","00:05:25,000",And.,neutral,neutral,neutral
"00:05:25,000","00:05:25,000",And.,neutral,neutral,neutral
"00:05:25,000","00:05:27,000",You suffer from noise from the neighbors.,anger,annoyance,moderate
"00:05:27,000","00:05:28,000",Beats.,surprise,confusion,mild
"00:05:28,000","00:05:30,000",Tell me what you hear exactly.,happiness,curiosity,moderate
"00:05:30,000","00:05:31,000",To walk.,neutral,neutral,neutral
"00:05:32,000","00:05:33,000",Stamping.,anger,annoyance,moderate
"00:05:33,000","00:05:39,000",And actually it was about someone walking with slippers.,neutral,neutral,neutral
"00:05:39,000","00:05:40,000",What exactly do you hear?,happiness,curiosity,mild
"00:05:40,000","00:05:44,000","Well, it just thumps inside.",anger,annoyance,mild
