start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:04,000","I feel so hunted, you don't want to know that.",fear,fear,intense
"00:00:04,000","00:00:06,000",I no longer have to drop a stab.,happiness,relief,mild
"00:00:06,000","00:00:09,000",Twelve Dutch people flee in Hunted.,happiness,curiosity,moderate
"00:00:09,000","00:00:11,000","Dad, we're leaving now!",happiness,excitement,moderate
"00:00:11,000","00:00:14,000","Ordinary citizens, like you and me.",neutral,neutral,neutral
"00:00:14,000","00:00:16,000",I don't trust anyone anymore.,sadness,disappointment,intense
"00:00:16,000","00:00:17,000","Bags, bags.",fear,fear,moderate
"00:00:17,000","00:00:20,000",I really don't trust it here. Then I want to cycle a bit.,fear,nervousness,moderate
"00:00:20,000","00:00:23,000",They have to stay over the hands of a team of specialists.,fear,fear,moderate
"00:00:23,000","00:00:25,000",The crème de la crème of the Dutch investigation.,happiness,admiration,mild
"00:00:25,000","00:00:29,000","Everything they know where they live, processed, hobbies, contacts.",happiness,curiosity,mild
"00:00:29,000","00:00:33,000","21 days long, 24 hours a day.",neutral,neutral,neutral
"00:00:33,000","00:00:35,000",A nerve -racking manhunt.,happiness,excitement,intense
"00:00:35,000","00:00:37,000","Oh shit, who is that?",surprise,surprise,intense
"00:00:38,000","00:00:42,000",But this works in a country that is full of security cameras ...,happiness,curiosity,mild
"00:00:42,000","00:00:45,000",And where every step you take leaves traces?,happiness,curiosity,mild
"00:00:45,000","00:00:48,000","Safety goes above privacy, whether you want or not.",disgust,disapproval,moderate
"00:00:48,000","00:00:50,000","There they are, they are.",neutral,neutral,neutral
"00:00:50,000","00:00:52,000","And, and, and.",fear,fear,moderate
"00:00:52,000","00:00:54,000","I see him walking, I see him walking.",happiness,excitement,intense
"00:00:54,000","00:00:57,000","Yes, grab him here!",fear,fear,intense
"00:00:57,000","00:01:00,000",We can't see that we put it in the house?,surprise,confusion,moderate
"00:01:00,000","00:01:02,000","We will come along, Ries. Are they here?",,,
"00:01:02,000","00:01:04,000",Fuses! We have to leave!,fear,fear,intense
"00:01:05,000","00:01:07,000",Subject arrested.,neutral,neutral,neutral
"00:01:07,000","00:01:09,000",It's hard here now.,sadness,disappointment,moderate
"00:01:09,000","00:01:10,000",Will be fine.,happiness,optimism,mild
"00:01:10,000","00:01:12,000","Yes, standing!",happiness,excitement,moderate
"00:01:13,000","00:01:15,000","You must always have an escape plan in it, always.",fear,fear,moderate
"00:01:15,000","00:01:19,000","If you can't trust anyone, where can you still go?",surprise,confusion,moderate
"00:01:27,000","00:01:30,000",These are the twelve participants. They wait for a phone call.,,,
"00:01:30,000","00:01:33,000",And from that moment they immediately flee.,fear,fear,intense
"00:01:33,000","00:01:36,000",Rushed by a specially composed investigation team ...,happiness,curiosity,moderate
"00:01:36,000","00:01:39,000",With the same powers as the Dutch police.,happiness,admiration,mild
"00:01:40,000","00:01:43,000",The rules are simple. They are not allowed to leave the Netherlands.,neutral,neutral,neutral
"00:01:43,000","00:01:47,000",They may not stay in the same place for more than 48 hours.,neutral,neutral,neutral
"00:01:47,000","00:01:50,000",And they must adhere to Dutch law.,neutral,neutral,neutral
"00:01:50,000","00:01:53,000",The Dutch police must arrest Dutch law.,neutral,neutral,neutral
"00:01:54,000","00:01:57,000",And they must adhere to Dutch law.,neutral,neutral,neutral
"00:01:57,000","00:02:01,000",Who manages to stay over for three weeks from the investigation team?,happiness,curiosity,moderate
"00:02:02,000","00:02:05,000",The first phone call is for Richard and Esmee.,neutral,neutral,neutral
"00:02:05,000","00:02:06,000",With Esmee?,happiness,curiosity,mild
"00:02:06,000","00:02:10,000",Their flight starts immediately. They have to get away as quickly as possible.,fear,fear,intense
"00:02:10,000","00:02:12,000","Dad, we're leaving now!",happiness,excitement,moderate
"00:02:12,000","00:02:16,000",Richard and Esmee have been friends for a long time and since two years in style.,neutral,neutral,neutral
"00:02:16,000","00:02:19,000",Richard is DJ and Esmee dancer.,neutral,neutral,neutral
"00:02:19,000","00:02:21,000",They have found each other completely.,happiness,love,mild
"00:02:21,000","00:02:25,000",And they love to plunge into this unexpected adventure together.,happiness,excitement,moderate
"00:02:25,000","00:02:29,000",I participate because I think I'm pretty tactical.,happiness,pride,mild
"00:02:29,000","00:02:32,000",That we are too smart. That gives a kind of kick.,happiness,pride,moderate
"00:02:32,000","00:02:33,000",Last check.,neutral,neutral,neutral
"00:02:33,000","00:02:37,000",It is of course super exciting and I like tension and adventure.,happiness,excitement,intense
"00:02:37,000","00:02:39,000",We are going to cycle and we will avoid the cameras.,happiness,optimism,moderate
"00:02:39,000","00:02:41,000",We are now just going to cycle away as far as possible.,happiness,optimism,moderate
"00:02:41,000","00:02:42,000",That's the plan.,neutral,neutral,neutral
"00:02:42,000","00:02:45,000",I think it will do something with our relationship.,happiness,curiosity,mild
"00:02:45,000","00:02:48,000",But I think this is a very nice memory again.,happiness,joy,moderate
"00:02:48,000","00:02:49,000",I think so too.,neutral,neutral,neutral
"00:02:49,000","00:02:52,000",I think this is just a nice adventure again.,happiness,joy,moderate
"00:02:52,000","00:02:54,000",That we can write with it.,happiness,optimism,mild
"00:02:54,000","00:02:56,000",Maybe we get to know each other even better.,happiness,curiosity,mild
"00:02:56,000","00:02:57,000",I think so.,neutral,neutral,neutral
"00:02:57,000","00:02:58,000",Is that still possible?,happiness,curiosity,mild
"00:02:58,000","00:02:59,000",And.,neutral,neutral,neutral
"00:02:59,000","00:03:00,000",Left sweet!,happiness,caring,mild
"00:03:02,000","00:03:04,000","Okay, you have drinking, you have food.",neutral,neutral,neutral
"00:03:04,000","00:03:06,000","I have water, I have food.",neutral,neutral,neutral
"00:03:07,000","00:03:10,000",Richard and Esmee choose to start by bike.,neutral,neutral,neutral
"00:03:10,000","00:03:14,000","Constantly followed by our cameraman, they take a rural route.",neutral,neutral,neutral
"00:03:14,000","00:03:17,000",They hope to avoid the security cameras.,happiness,optimism,moderate
"00:03:17,000","00:03:19,000",Because the Netherlands is full of cameras.,neutral,neutral,neutral
"00:03:19,000","00:03:21,000",We are among the top of the world.,happiness,pride,mild
"00:03:21,000","00:03:23,000","We can still cycle quietly here, right?",happiness,curiosity,mild
"00:03:23,000","00:03:25,000","Yes, there are no cameras here.",happiness,relief,mild
"00:03:27,000","00:03:28,000",We think.,neutral,neutral,neutral
"00:03:29,000","00:03:31,000",From a secret location in the Netherlands ...,happiness,curiosity,mild
"00:03:31,000","00:03:35,000",a team of top crimes hunts the fugitive.,neutral,neutral,neutral
"00:03:35,000","00:03:38,000",I would also like to request all phone information ...,happiness,optimism,moderate
"00:03:38,000","00:03:41,000",What the name there are at this address?,happiness,curiosity,mild
"00:03:41,000","00:03:44,000",Their boss is former police commissioner Sander Schaapman.,neutral,neutral,neutral
"00:03:44,000","00:03:47,000",He has more than 25 years of experience in the investigation.,happiness,admiration,mild
"00:03:47,000","00:03:51,000","And next to him, operational leader Marcel van de Ven works.",neutral,neutral,neutral
"00:03:51,000","00:03:53,000",Keep an eye on this.,fear,fear,moderate
"00:03:53,000","00:03:56,000","Suppose Pink continues to pass location, I will send a team away.",happiness,optimism,moderate
"00:03:56,000","00:03:58,000",A team of tactical investigators.,neutral,neutral,neutral
"00:03:59,000","00:04:01,000",An analyst.,neutral,neutral,neutral
"00:04:01,000","00:04:03,000",A profiler.,neutral,neutral,neutral
"00:04:03,000","00:04:05,000",And a digital detective.,neutral,neutral,neutral
"00:04:05,000","00:04:09,000",They have all the conceivable means to detect the fugitives.,neutral,neutral,neutral
"00:04:10,000","00:04:13,000",The most important thing not to be caught ...,fear,fear,moderate
"00:04:13,000","00:04:16,000",Is avoiding the millions of security cameras.,happiness,optimism,moderate
"00:04:16,000","00:04:18,000",And more are added every day.,neutral,neutral,neutral
"00:04:20,000","00:04:22,000",A damage to our privacy?,,,
"00:04:22,000","00:04:24,000",Or a guarantee on more safety?,happiness,curiosity,mild
"00:04:24,000","00:04:27,000","You see that there are more and more people, groups ...",happiness,curiosity,mild
"00:04:27,000","00:04:30,000",who want to hurt from a certain ideology.,fear,fear,moderate
"00:04:30,000","00:04:32,000",See what happened in Brussels.,sadness,sadness,moderate
"00:04:34,000","00:04:35,000",Paris.,sadness,sadness,moderate
"00:04:37,000","00:04:38,000",London.,sadness,sadness,moderate
"00:04:39,000","00:04:44,000","Then the call to protect us there is also stronger, to protect ...",happiness,optimism,moderate
"00:04:44,000","00:04:46,000",gets proportionally bigger.,neutral,neutral,neutral
"00:04:47,000","00:04:49,000","Okay guys, I'll be added.",neutral,neutral,neutral
"00:04:49,000","00:04:50,000",Ask.,neutral,neutral,neutral
"00:04:51,000","00:04:52,000",First case.,neutral,neutral,neutral
"00:04:52,000","00:04:56,000","Victor Coutillo, birth year 1987, from Hilversum.",neutral,neutral,neutral
"00:04:56,000","00:05:01,000","And Davy Hetaria, also from Hilversum, but from 1992.",neutral,neutral,neutral
"00:05:01,000","00:05:03,000",Probably as a couple.,neutral,neutral,neutral
"00:05:03,000","00:05:07,000",But they may have both had an individual process.,neutral,neutral,neutral
"00:05:08,000","00:05:09,000",Get started.,neutral,neutral,neutral
"00:05:09,000","00:05:13,000",We are now the dick if they know that we are on this road.,fear,nervousness,moderate
"00:05:13,000","00:05:15,000",How are they going to come here?,happiness,curiosity,mild
