start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:03,000",Boh-am-Z 200%,surprise,confusion,moderate
"00:00:03,000","00:00:09,000",ONLY ACTIVATES WHEN MEN'T ACTIVE,surprise,confusion,moderate
"00:00:11,000","00:00:19,000",LEST ARGUE,anger,annoyance,moderate
"00:00:19,000","00:00:20,000",OUCH,,,
"00:00:20,000","00:00:23,000",BECAUSE PEP rapt is my favorite boo and is 100% yellow,happiness,joy,mild
"00:00:23,000","00:00:25,000",WHOOKA WHOOKA WHOOKAPEW,happiness,amusement,mild
"00:00:25,000","00:00:25,000",F rect,neutral,neutral,neutral
"00:00:25,000","00:00:26,000",S rect,neutral,neutral,neutral
"00:00:26,000","00:00:26,000",S rect,neutral,neutral,neutral
"00:00:26,000","00:00:27,000",probably,neutral,neutral,neutral
"00:00:30,000","00:00:39,000",b,neutral,neutral,neutral
"00:00:39,000","00:00:39,000",b,neutral,neutral,neutral
"00:00:39,000","00:00:40,000",b,neutral,neutral,neutral
"00:00:40,000","00:00:41,000",b,neutral,neutral,neutral
"00:00:41,000","00:00:41,000",b,neutral,neutral,neutral
"00:00:41,000","00:00:44,000",HUP,surprise,surprise,mild
"00:00:44,000","00:00:44,000",bye,neutral,neutral,neutral
"00:00:44,000","00:00:44,000",bye,neutral,neutral,neutral
"00:00:44,000","00:00:45,000",bye,neutral,neutral,neutral
"00:00:45,000","00:00:48,000",i,neutral,neutral,neutral
"00:00:48,000","00:00:49,000",i,neutral,neutral,neutral
"00:00:49,000","00:00:50,000",i,neutral,neutral,neutral
"00:00:50,000","00:00:51,000",i,neutral,neutral,neutral
"00:00:51,000","00:00:53,000",i,neutral,neutral,neutral
"00:01:00,000","00:01:02,000",i,neutral,neutral,neutral
"00:01:02,000","00:01:04,000",i,neutral,neutral,neutral
"00:01:04,000","00:01:06,000",i,neutral,neutral,neutral
"00:01:06,000","00:01:08,000",i,neutral,neutral,neutral
"00:01:08,000","00:01:10,000",i,neutral,neutral,neutral
